Entry Location,Entry,Enabled,Category,Description,Publisher,Image Path,Launch String,MD5,SHA-1,SHA-256
"HKLM\System\CurrentControlSet\Services","Schedule",enabled,"Services","Enables a user to configure and schedule automated tasks on this computer. If this service is stopped, these tasks will not be run at their scheduled times. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\schedsvc.dll","%SystemRoot%\system32\schedsvc.dll",92360854316611f6cc471612213c3d92,27f194ea0e208122b62417a7bb8fde545b611dfb,
"HKLM\System\CurrentControlSet\Services","seclogon",enabled,"Services","Enables starting processes under alternate credentials. If this service is stopped, this type of logon access will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\seclogon.dll","%SystemRoot%\System32\seclogon.dll",b1e0ce09895376871746f36dc5773b4f,fcde0e898c81c00aebc8c9bce2ff8122f99a558d,
"HKLM\System\CurrentControlSet\Services","SENS",enabled,"Services","Tracks system events such as Windows logon, network, and power events.  Notifies COM+ Event System subscribers of these events.","Microsoft Corporation","c:\windows\system32\sens.dll","%SystemRoot%\system32\sens.dll",dfd9870cf39c791d86c4c209da9fa919,771695ef115cdc207feaa327075bf92421477574,
"HKLM\System\CurrentControlSet\Services","SharedAccess",enabled,"Services","Provides network address translation, addressing, name resolution and/or intrusion prevention services for a home or small office network.","Microsoft Corporation","c:\windows\system32\ipnathlp.dll","%SystemRoot%\System32\ipnathlp.dll",36cc8c01b5e50163037bef56cb96deff,2469e5ddcba1ad946ef8cbf5c2b9c77fd12a8b0d,
"HKLM\System\CurrentControlSet\Services","ShellHWDetection",enabled,"Services","Provides notifications for AutoPlay hardware events.","Microsoft Corporation","c:\windows\system32\shsvcs.dll","%SystemRoot%\System32\shsvcs.dll",e7518dc542d3ebdcb80edd98462c7821,6dec6796289066fc1ba827dabef1cc3286660f3a,
"HKLM\System\CurrentControlSet\Services","Spooler",enabled,"Services","Loads files to memory for later printing.","Microsoft Corporation","c:\windows\system32\spoolsv.exe","%SystemRoot%\system32\spoolsv.exe",7435b108b935e42ea92ca94f59c8e717,c0c79c39a7f4d4e491bff70810439c1aae3e5006,
"HKLM\System\CurrentControlSet\Services","srservice",enabled,"Services","Performs system restore functions. To stop service, turn off System Restore from the System Restore tab in My Computer->Properties","Microsoft Corporation","c:\windows\system32\srsvc.dll","C:\WINDOWS\system32\srsvc.dll",92bdf74f12d6cbec43c94d4b7f804838,e2734239a81eeca06b415f46cb255568eee2adcd,
"HKLM\System\CurrentControlSet\Services","SSDPSRV",enabled,"Services","Enables discovery of UPnP devices on your home network.","Microsoft Corporation","c:\windows\system32\ssdpsrv.dll","%SystemRoot%\System32\ssdpsrv.dll",4b8d61792f7175bed48859cc18ce4e38,580ec10f7fed717e320ec379827ee16fb2160e1d,
"HKLM\System\CurrentControlSet\Services","stisvc",enabled,"Services","Provides image acquisition services for scanners and cameras.","Microsoft Corporation","c:\windows\system32\wiaservc.dll","%SystemRoot%\system32\wiaservc.dll",d9f6c4f6b1e188adafc42b561d9bc2e6,4f966410d584cc64244bd039a19a194ef85adbbc,
"HKLM\System\CurrentControlSet\Services","SwPrv",enabled,"Services","Manages software-based volume shadow copies taken by the Volume Shadow Copy service. If this service is stopped, software-based volume shadow copies cannot be managed. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\dllhost.exe","C:\WINDOWS\system32\dllhost.exe /Processid:{37F9179E-8E38-4574-B977-E3202F66669D}",dd87db7387b9eb441c5674888a0d840c,6cb068d8bb51ce82828d08e441e92e9b3b9cc0ab,
"HKLM\System\CurrentControlSet\Services","SysmonLog",enabled,"Services","Collects performance data from local or remote computers based on preconfigured schedule parameters, then writes the data to a log or triggers an alert. If this service is stopped, performance information will not be collected. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\smlogsvc.exe","%SystemRoot%\system32\smlogsvc.exe",8b54aa346d1b1b113ffaa75501b8b1b2,50389ff49a721d4ac7e6d863a6e145e324d73d2b,
